"country","descrip_study","study_code","case_id","local_case_id","owner","education","interact_w_prof","gender_f1_m0","machin_s0_h1","assoc_inst","other_income","n_crops_tot","hive_use","commerce","access_credit","irrigation","fertil_yes1_no0","fertil_org1_ino0","family_tot_n","family_female_n","family_male_n","bee_importance","age","internet_access","certific","employee_tot_n","employee_male_n","employee_female_n","crops_area","property_ha","wild_veg_edge_incrop","wild_area_property","wild_area_ha","conserv_actions","activs_field0_admin1_both2","pestic_chem_appl_year","pestic_che0_org1"
"ecuador","habas_cotopaxi","HCO",71,"1",1,15.5,1,1,0,0,0,2,0,0,0,1,NA,1,2,NA,NA,1,21,1,0,1,NA,NA,0.08,1,NA,NA,NA,NA,NA,NA,1
"ecuador","habas_cotopaxi","HCO",72,"2",1,15.5,1,1,NA,0,0,2,0,0,0,0,NA,0,1,NA,NA,1,25,1,0,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,1
"ecuador","habas_cotopaxi","HCO",73,"3",1,15.5,1,1,0,0,0,2,0,0,0,1,NA,0,2,NA,NA,1,19,1,0,1,NA,NA,0.07,0.11,NA,NA,NA,NA,NA,NA,1
"ecuador","habas_cotopaxi","HCO",74,"4",1,15.5,1,1,NA,0,1,2,0,0,0,0,NA,1,3,NA,NA,1,25,1,0,0,NA,NA,0.01,0.062,NA,NA,NA,NA,NA,NA,1
"ecuador","habas_cotopaxi","HCO",75,"5",1,12,NA,0,0,1,1,2,0,0,1,1,NA,1,NA,NA,NA,1,46,NA,0,NA,NA,NA,1.05,1.05,NA,NA,NA,NA,NA,NA,1
"ecuador","habas_cotopaxi","HCO",76,"6",1,7,0,0,1,0,0,2,0,0,0,0,NA,1,3,NA,NA,1,50,0,0,0,NA,NA,0.3532,0.7056,NA,NA,NA,NA,NA,NA,0
"ecuador","habas_cotopaxi","HCO",77,"7",1,12,1,0,1,0,0,2,0,0,0,1,NA,1,5,NA,NA,1,50,1,1,0,NA,NA,0.12,0.25,NA,NA,NA,NA,NA,NA,1
"ecuador","habas_cotopaxi","HCO",78,"8",1,12,1,0,1,0,1,1,0,0,1,0,NA,1,1,NA,NA,0,29,0,0,0,NA,NA,NA,0.0529,NA,NA,NA,NA,NA,NA,1
"ecuador","habas_cotopaxi","HCO",79,"9",1,12,1,1,1,0,0,1,0,0,1,0,NA,1,3,NA,NA,1,27,0,0,1,NA,NA,0.05,0.05,NA,NA,NA,NA,NA,NA,1
"ecuador","habas_cotopaxi","HCO",80,"10",1,7,1,1,NA,0,1,1,0,0,NA,1,NA,0,2,NA,NA,1,47,0,1,0,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0
"ecuador","habas_cotopaxi","HCO",81,"11",1,12,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,0,NA,NA,NA,0.34,0.34,NA,NA,NA,NA,NA,NA,NA
"ecuador","habas_cotopaxi","HCO",82,"12",1,12,1,0,0,1,1,2,0,NA,1,1,NA,1,2,NA,NA,NA,59,0,0,NA,NA,NA,0.08,0.1709,NA,NA,NA,NA,NA,NA,NA
"ecuador","habas_cotopaxi","HCO",83,"13",1,12,1,1,NA,0,0,NA,0,0,0,0,NA,0,1,NA,NA,1,19,0,0,0,NA,NA,0.072,0.072,NA,NA,NA,NA,NA,NA,1
