"country","descrip_study","study_code","case_id","local_case_id","owner","education","interact_w_prof","gender_f1_m0","machin_s0_h1","assoc_inst","other_income","n_crops_tot","hive_use","commerce","access_credit","irrigation","fertil_yes1_no0","fertil_org1_ino0","family_tot_n","family_female_n","family_male_n","bee_importance","age","internet_access","certific","employee_tot_n","employee_male_n","employee_female_n","crops_area","property_ha","wild_veg_edge_incrop","wild_area_property","wild_area_ha","conserv_actions","activs_field0_admin1_both2","pestic_chem_appl_year","pestic_che0_org1"
"brazil","coffe_bahia","CBH",42,"O01",1,0,0,0,0,0,0,2,NA,NA,0,0,0,0,7,4,5,1,81,0,NA,2,NA,NA,0.3,1,1,0,0,1,2,0,NA
"brazil","coffe_bahia","CBH",43,"O02",1,1,0,0,0,1,0,1,0,NA,1,0,1,1,2,0,2,1,48,0,NA,2,NA,NA,2,2,0,0,0,0,2,4,NA
"brazil","coffe_bahia","CBH",44,"O03",1,15,0,0,1,1,1,2,1,NA,0,1,1,1,1,1,0,0,65,0,NA,5,NA,NA,3,96,1,1,90,1,2,0,NA
"brazil","coffe_bahia","CBH",45,"O04",1,8,1,0,0,0,0,4,0,NA,0,0,1,0,0,0,0,1,47,0,NA,9,NA,NA,4,4,1,1,6,0,2,0,NA
"brazil","coffe_bahia","CBH",46,"O06",1,4,1,0,1,1,0,5,NA,NA,1,0,1,1,1,1,0,1,68,0,NA,2,NA,NA,12,12,1,1,6,1,2,0,NA
"brazil","coffe_bahia","CBH",47,"O08",1,4,0,0,0,0,0,3,1,NA,0,0,1,1,1,1,0,1,39,0,NA,0,NA,NA,0.5,2,1,1,NA,1,2,0,NA
"brazil","coffe_bahia","CBH",48,"O09",1,3,1,0,1,1,1,4,0,NA,1,1,1,1,5,2,3,1,51,1,NA,3,NA,NA,26,70,1,1,30,1,2,0,NA
"brazil","coffe_bahia","CBH",49,"O10",1,15,1,0,NA,1,1,4,0,NA,NA,1,NA,1,0,0,0,1,49,1,NA,3,NA,NA,22,177,1,1,NA,1,2,0,NA
"brazil","coffe_bahia","CBH",50,"O11",1,0,0,1,0,1,0,3,0,NA,1,0,0,0,1,0,1,NA,43,0,NA,1,NA,NA,2.5,2.5,0,0,0,0,2,0,NA
"brazil","coffe_bahia","CBH",51,"O12",1,0,NA,0,NA,NA,0,1,0,NA,NA,0,NA,NA,5,1,4,NA,62,NA,NA,0,NA,NA,6,12,0,0,0,0,2,0,NA
"brazil","coffe_bahia","CBH",52,"O13",1,0,0,0,0,0,0,1,0,NA,1,0,1,1,1,1,0,NA,48,0,NA,4,NA,NA,3,22,0,1,NA,0,2,0,NA
"brazil","coffe_bahia","CBH",53,"O14",1,0,0,0,0,1,0,4,0,NA,1,1,1,1,1,1,0,1,61,0,NA,1,NA,NA,6.5,9.5,1,0,0,0,2,0,NA
"brazil","coffe_bahia","CBH",54,"O15",1,4,0,1,1,0,0,2,0,NA,1,1,1,0,1,0,1,1,51,0,NA,4,NA,NA,5.6,NA,0,1,NA,0,2,0,NA
"brazil","coffe_bahia","CBH",55,"O16",1,5,0,1,0,1,0,7,0,NA,0,0,1,1,0,0,0,NA,43,0,NA,1,NA,NA,2,5,0,0,0,0,2,0,NA
"brazil","coffe_bahia","CBH",56,"O17",1,0,0,0,0,0,0,1,0,NA,0,0,1,0,2,0,2,NA,67,0,NA,0,NA,NA,2,2,0,1,NA,0,2,0,NA
"brazil","coffe_bahia","CBH",57,"O18",1,12,1,1,0,0,1,6,NA,NA,0,0,1,0,0,0,0,1,67,0,NA,3,NA,NA,1.5,2,1,1,NA,0,1,0,NA
"brazil","coffe_bahia","CBH",58,"O19",1,4,1,0,1,1,1,6,1,NA,1,0,1,0,3,3,0,1,46,0,NA,8,NA,NA,8,10.3,1,0,0,1,2,0,NA
"brazil","coffe_bahia","CBH",59,"C01",0,0,0,0,0,0,0,1,NA,NA,0,0,1,1,1,1,0,1,51,0,NA,6,NA,NA,3,6,0,0,0,0,2,2,NA
"brazil","coffe_bahia","CBH",60,"C02",1,0,0,0,0,0,0,1,0,NA,1,0,1,0,6,3,3,1,70,0,NA,6,NA,NA,10,80,0,1,NA,0,2,4,NA
"brazil","coffe_bahia","CBH",61,"C03",1,1,1,0,0,1,0,4,0,NA,1,0,1,0,2,1,1,NA,54,0,NA,4,NA,NA,2,6,0,1,1,0,2,0,NA
"brazil","coffe_bahia","CBH",62,"C04",1,15,1,0,1,0,1,1,0,NA,0,1,1,NA,0,0,0,1,31,1,NA,6,NA,NA,5,7.4,1,1,3,1,1,4,NA
"brazil","coffe_bahia","CBH",63,"C05",1,8,1,0,1,0,1,3,0,NA,0,1,1,0,1,0,1,1,62,0,NA,16,NA,NA,18,120,0,1,NA,NA,1,2,NA
"brazil","coffe_bahia","CBH",64,"C07",1,15,1,0,1,0,1,2,0,NA,0,1,1,0,0,0,0,NA,47,1,NA,15,NA,NA,18,43,1,1,14,0,1,2,NA
"brazil","coffe_bahia","CBH",65,"C08",0,15,1,0,1,1,1,3,0,NA,0,1,1,0,6,0,6,0,34,1,NA,420,NA,NA,900,24000,1,1,4000,0,1,4,NA
"brazil","coffe_bahia","CBH",66,"C09",1,15,1,0,1,0,1,5,0,NA,1,1,1,0,3,1,2,0,33,1,NA,35,NA,NA,160,263,0,1,45,0,2,4,NA
"brazil","coffe_bahia","CBH",67,"C10",1,15,1,1,1,0,1,5,0,NA,0,1,1,0,2,1,1,1,32,1,NA,12,NA,NA,50,200,0,1,60,0,1,1,NA
"brazil","coffe_bahia","CBH",68,"C11",0,4,1,0,1,0,1,2,1,NA,0,1,1,1,1,0,1,1,40,1,NA,46,NA,NA,100,200,1,1,NA,1,1,4,NA
"brazil","coffe_bahia","CBH",69,"C16",0,15,1,0,1,1,1,3,0,NA,0,1,NA,NA,1,0,1,1,42,1,NA,94,NA,NA,310,NA,1,1,NA,0,1,1,NA
"brazil","coffe_bahia","CBH",70,"C19",1,15,1,0,0,0,0,1,0,NA,1,0,1,0,0,0,0,1,40,1,NA,3,NA,NA,18,18,0,0,0,0,1,1,NA
